Time	Volt
27209	390
27232	400
27255	404
27278	413
27301	408
27324	411
27347	410
27370	406
27393	411
27416	405
27439	402
27462	390
27485	370
27508	364
27531	383
27554	396
27577	391
27600	392
27623	329
27646	365
27669	382
27692	387
27715	397
27738	401
27761	408
27784	376
27807	389
27830	393
27853	391
27876	402
27899	406
27922	406
27945	415
27968	409
27991	413
28014	407
28037	412
28060	410
28083	415
28106	414
28129	411
28152	367
28179	389
28202	408
28225	366
28248	391
28271	399
28294	398
28317	409
28340	409
28363	409
28386	414
28409	420
28432	419
28455	417
28478	422
28501	414
28524	415
28547	418
28570	426
28593	432
28616	410
28639	356
28662	357
28685	332
28708	297
28731	265
28754	107
28777	63
28800	232
28823	252
28846	244
28869	239
28892	176
28915	150
28938	346
28961	471
28984	475
29007	316
29030	259
29053	157
29076	200
29099	359
29122	538
29152	76
29175	182
29198	174
29221	446
29253	259
29280	483
29303	487
29326	453
29349	412
29372	369
29395	353
29418	401
29441	430
29464	407
29487	383
29510	351
29533	331
29556	345
29579	377
29602	397
29625	389
29648	399
29671	395
29694	442
29717	502
29740	603
29763	407
29786	333
29809	375
29832	393
29855	425
29878	444
29901	423
29924	429
29947	422
29970	417
29993	408
30016	401
30039	413
30062	414
30085	417
30108	415
30131	414
30154	411
30177	409
30200	403
30223	400
30246	407
30269	399
30292	400
30315	407
30342	401
30365	405
30388	399
30411	408
30434	400
30457	405
30480	397
30503	205
30526	276
30549	309
30572	209
30595	221
30618	211
30641	181
30664	167
30687	150
30710	117
30733	121
30756	113
30779	123
30802	112
30825	118
30848	112
30871	96
30894	103
30917	113
30940	137
30963	191
30986	179
31009	163
31032	129
31055	156
31078	158
31101	157
31124	165
31147	162
31170	162
31193	186
31216	184
31239	205
31262	207
31285	208
31308	209
31331	206
31354	189
31377	176
31400	162
31427	272
31450	324
31473	261
31496	334
31519	313
31542	222
31565	241
31588	191
31611	216
31634	246
31657	314
31680	257
31703	309
31726	351
31749	373
31772	382
31795	392
31818	398
31841	393
31864	283
31887	254
31910	260
31933	272
31956	282
31979	292
32009	318
32032	356
32055	337
32078	365
32110	388
32133	403
32156	399
32179	400
32202	404
32225	365
32248	387
32271	394
32294	396
32317	408
32340	403
32363	404
32386	405
32409	404
32432	403
32455	404
32478	410
32505	412
32528	398
32551	394
32574	407
32597	342
32620	307
32643	302
32666	278
32689	301
32712	307
32735	358
32758	383
32781	389
32804	398
32827	399
32850	405
32873	403
32896	394
32919	402
32942	397
32965	406
32988	408
33011	403
33034	406
33057	404
33080	406
33103	405
33126	411
33149	408
33172	325
33195	237
33218	202
33241	234
33264	190
33287	304
33310	226
33333	172
33356	202
33379	237
33402	217
33425	201
33448	179
33471	213
33494	246
33517	226
33540	256
33563	264
33590	270
33613	253
33636	270
33659	308
33682	305
33705	318
33728	369
33751	336
33774	286
33797	245
33820	275
33843	304
33866	344
33889	341
33912	283
33935	268
33958	327
33981	335
34004	329
34027	332
34050	310
34073	300
34096	286
34119	314
34142	311
34165	316
34188	298
34211	295
34234	315
34257	277
34280	304
34303	289
34326	206
34349	223
34372	232
34395	244
34418	190
34441	216
